Roll, Pitch, Yaw
-0.00241998,0.00168203,-0.00397907
-0.00721832,0.00362421,-0.0115114
-0.0131324,0.00584013,-0.0232525
-0.0199674,0.00926448,-0.0374656
-0.0306114,0.013621,-0.0568647
-0.042185,0.0150927,-0.0844019
-0.0565834,0.0171963,-0.113383
-0.0711493,0.0201255,-0.144807
-0.0874985,0.0228837,-0.180448
-0.103952,0.0275227,-0.215102
-0.122511,0.032312,-0.251995
-0.138879,0.0381389,-0.287874
-0.158766,0.0409964,-0.33005
-0.175235,0.044907,-0.370036
-0.192357,0.0498828,-0.409248
-0.212574,0.057178,-0.445886
-0.233262,0.0607479,-0.487383
-0.254415,0.0660835,-0.526779
-0.275954,0.065545,-0.573005
-0.28925,0.0729433,-0.605393
-0.310245,0.0772044,-0.644852
-0.327137,0.0878408,-0.67052
-0.345069,0.0917267,-0.706439
-0.360859,0.10031,-0.734571
-0.3808,0.107421,-0.763637
-0.394973,0.115513,-0.789199
-0.407611,0.1163,-0.824566
-0.419668,0.119828,-0.851429
-0.434818,0.125354,-0.876839
-0.453413,0.132704,-0.90093
-0.464458,0.136608,-0.924682
-0.474603,0.13704,-0.950313
-0.484268,0.13595,-0.979872
-0.498774,0.140743,-1.00014
-0.511085,0.141029,-1.02552
-0.523389,0.144546,-1.04521
-0.526233,0.145637,-1.06339
-0.533849,0.145002,-1.08443
-0.54598,0.142711,-1.10843
-0.55132,0.14548,-1.12217
-0.557793,0.144815,-1.1403
-0.566118,0.148102,-1.15369
-0.572185,0.144382,-1.17339
-0.578023,0.142004,-1.19265
-0.581068,0.147068,-1.19941
-0.588329,0.147955,-1.21211
-0.589857,0.148171,-1.22239
-0.59809,0.150642,-1.232
-0.605944,0.152985,-1.24166
-0.608235,0.149989,-1.25646
-0.619212,0.150643,-1.26748
-0.623044,0.156469,-1.26975
-0.629674,0.158491,-1.27673
-0.634067,0.161509,-1.28272
-0.636974,0.156128,-1.2984
-0.640283,0.152777,-1.31083
-0.639359,0.159052,-1.30825
-0.647157,0.16315,-1.31125
-0.651762,0.160554,-1.32019
-0.651035,0.16274,-1.32284
-0.650416,0.162454,-1.32749
-0.654658,0.161604,-1.33412
-0.655688,0.15654,-1.34695
-0.665124,0.152962,-1.35833
-0.66496,0.15623,-1.35676
-0.670206,0.155009,-1.36455
-0.667901,0.151446,-1.373
-0.675408,0.155357,-1.37319
-0.678348,0.159069,-1.37149
-0.681547,0.152123,-1.38518
-0.682271,0.149911,-1.38983
-0.682871,0.148942,-1.39476
-0.684031,0.149287,-1.39727
-0.688798,0.149601,-1.39947
-0.68732,0.151779,-1.39718
-0.689947,0.152485,-1.39939
-0.692061,0.154471,-1.39831
-0.695178,0.154469,-1.40037
-0.697202,0.158107,-1.3972
-0.689343,0.15914,-1.39236
-0.691858,0.16126,-1.39092
-0.692904,0.162674,-1.39004
-0.685725,0.155913,-1.39894
-0.685877,0.155724,-1.40018
-0.69162,0.161168,-1.39629
-0.683945,0.156901,-1.40084
-0.680455,0.159094,-1.39715
-0.675154,0.156207,-1.39948
-0.67269,0.161069,-1.39075
-0.675391,0.16488,-1.38703
-0.670856,0.164653,-1.38616
-0.668567,0.165778,-1.38366
-0.669142,0.173139,-1.3738
-0.676643,0.173228,-1.37461
-0.675201,0.166194,-1.38435
-0.677611,0.167718,-1.38335
-0.674972,0.160972,-1.39228
-0.670975,0.162168,-1.38865
-0.672842,0.155682,-1.39776
-0.671949,0.155818,-1.3979
-0.671234,0.162475,-1.38707
-0.678196,0.165496,-1.38445
-0.678757,0.158737,-1.39425
-0.677401,0.157509,-1.39445
-0.67751,0.163238,-1.38661
-0.672072,0.162367,-1.38525
-0.671811,0.159589,-1.38761
-0.668459,0.160799,-1.38447
